1.00000,0.36288,0.03444,0.00000,0.00366,0.65306,0.00544,0.20973,0.03320,0.03125,0.45212,0.64948,0.00000,0.00489,0.02607,0.61957,0.60351,0.50527,0.48792,0.00000,1.00000,0.54459
0.93333,0.37396,0.03556,0.00000,0.00377,0.62245,0.00232,0.20394,0.03440,0.57292,0.45328,0.61856,0.00000,0.00513,0.00025,0.63043,0.61053,0.50211,0.48309,0.00000,1.00000,0.44782
0.86667,0.36981,0.03667,0.00000,0.00376,0.64286,0.00203,0.19815,0.03560,0.61458,0.45038,0.63918,0.00000,0.00529,0.02452,0.63768,0.61754,0.49578,0.47826,0.00000,1.00000,0.44782
0.80000,0.37535,0.03833,0.00000,0.00401,0.67347,0.01313,0.19235,0.03720,0.66667,0.47301,0.67010,0.00000,0.00561,0.00286,0.64493,0.62807,0.48840,0.47343,0.00000,1.00000,0.44023
0.73333,0.37950,0.03944,0.00000,0.00036,0.68367,0.01420,0.18772,0.03880,0.67708,0.43529,0.68041,0.00000,0.00052,0.00230,0.65580,0.63509,0.47890,0.45894,0.00000,1.00000,0.43454
0.66667,0.38504,0.04111,0.00000,0.00409,0.66327,0.00937,0.18192,0.04080,0.65625,0.51248,0.65979,0.00000,0.00463,0.00223,0.66304,0.64211,0.47257,0.44444,0.00000,1.00000,0.42694
0.60000,0.38781,0.04278,0.00000,0.00291,0.63265,0.01348,0.17613,0.04240,0.62500,0.52525,0.62887,0.00000,0.00373,0.00022,0.67029,0.65263,0.45781,0.42995,0.00000,1.00000,0.42315
0.53333,0.39612,0.04444,0.00112,0.00133,0.64286,0.00754,0.17034,0.04400,0.63542,0.46198,0.63918,0.00000,0.00312,0.00211,0.67754,0.65965,0.45675,0.42029,0.00000,1.00000,0.41366
0.46667,0.40720,0.04556,0.00056,0.00056,0.63265,0.00538,0.16454,0.04520,0.62500,0.36912,0.62887,0.00000,0.00309,0.02057,0.68478,0.66667,0.43776,0.40580,0.00000,1.00000,0.40228
0.40000,0.40720,0.04667,0.00112,0.00088,0.64286,0.00938,0.15875,0.04640,0.57292,0.40975,0.57732,0.00000,0.00227,0.00200,0.69203,0.67368,0.42722,0.39130,0.00000,1.00000,0.39848
0.33333,0.40166,0.04722,0.00056,0.00007,0.66327,0.00611,0.15295,0.04720,0.57292,0.48346,0.57732,0.00000,0.00020,0.00020,0.69565,0.68070,0.41772,0.38164,0.00000,1.00000,0.39848
